Ensembl Gene ID	Band
ENSG00000142606	p36.32
ENSG00000228750	p36.31
ENSG00000237436	p36.31
ENSG00000235131	p36.32
ENSG00000116213	p36.32
ENSG00000162545	p36.12
ENSG00000142748	p36.11
ENSG00000074800	p36.23
ENSG00000234064	p36.21
ENSG00000204510	p36.21
ENSG00000238199	p36.22
ENSG00000233246	p35.1
ENSG00000270927	p35.2
ENSG00000218510	p36.12
ENSG00000233399	p35.2
ENSG00000270601	p36.21
ENSG00000120942	p36.22
ENSG00000132763	p34.1
ENSG00000134686	p35.1
ENSG00000269737	p36.33
ENSG00000272004	p36.33
ENSG00000227775	p36.33
ENSG00000205090	p36.33
ENSG00000160055	p35.2
ENSG00000229554	p33
ENSG00000118454	p31.1
ENSG00000258465	q23.2
ENSG00000121775	p35.2
ENSG00000177606	p32.1
ENSG00000235526	p13.3
ENSG00000236911	q32.2
ENSG00000197106	p13.3
ENSG00000281281	q24.3
ENSG00000200370	q42.13
ENSG00000228084	p21.2
ENSG00000203910	p22.1
ENSG00000237934	p35.3
ENSG00000155367	p13.2
ENSG00000206981	p35.2
ENSG00000251861	q32.1
ENSG00000135778	q42.2
ENSG00000252777	p35.3
ENSG00000263811	p36.13
ENSG00000252011	q44
ENSG00000198746	p36.11
ENSG00000278405	q21.3
ENSG00000281315	p32.3
ENSG00000277958	p35.3
ENSG00000211543	p13.1
ENSG00000239373	q24.3
ENSG00000222457	q21.3
ENSG00000199352	q42.13
ENSG00000212257	p31.3
ENSG00000273544	p35.3
ENSG00000263526	p21.3
ENSG00000221707	p34.1
ENSG00000201609	p36.13
ENSG00000244389	p31.1
ENSG00000277762	q21.2
ENSG00000275207	q32.1
ENSG00000281882	p13.3
ENSG00000202025	q31.1
ENSG00000281330	p36.13
ENSG00000266144	q23.3
ENSG00000264501	p36.22
ENSG00000281394	q22
ENSG00000276359	q23.3
ENSG00000241992	p21.3
ENSG00000281859	p34.1
ENSG00000251785	p31.1
ENSG00000252290	q43
ENSG00000221083	p36.23
ENSG00000251875	q25.2
ENSG00000201596	q25.3
ENSG00000212360	p31.3
ENSG00000200139	q32.1
ENSG00000212044	q32.3
ENSG00000206878	q42.13
ENSG00000201126	q24.3
ENSG00000266075	p36.32
ENSG00000273689	q21.1
ENSG00000278274	p35.3
ENSG00000251823	q42.13
ENSG00000277168	p34.3
ENSG00000201944	q32.1
ENSG00000276189	p36.32
ENSG00000207181	q42.3
ENSG00000199910	q42.13
ENSG00000202264	q42.13
ENSG00000264720	p31.3
ENSG00000277664	p31.1
ENSG00000226148	q32.1
ENSG00000239106	p36.11
ENSG00000222952	p36.21
ENSG00000265535	p32.1
ENSG00000264380	p22.3
ENSG00000207624	q41
ENSG00000281350	p36.22
ENSG00000200942	q32.1
ENSG00000201588	q42.13
ENSG00000207209	q21.1
ENSG00000212385	p13.1
ENSG00000201457	p34.3
ENSG00000199349	q32.1
ENSG00000277610	p11.2
ENSG00000199135	p31.3
ENSG00000207709	p13.3
ENSG00000273857	q42.2
ENSG00000266110	p22.3
ENSG00000276735	q31.2
ENSG00000215930	p13.1
ENSG00000274764	p36.21
ENSG00000207005	p36.13
ENSG00000207511	p36.21
ENSG00000200796	p34.3
ENSG00000270384	q21.1
ENSG00000207949	q24.3
ENSG00000199240	p34.2
ENSG00000253085	p36.21
ENSG00000274200	p31.1
ENSG00000280622	p21.2
ENSG00000266727	p36.13
ENSG00000252969	p36.22
ENSG00000194297	p12
ENSG00000228477	p34.2
ENSG00000275816	p32.3
ENSG00000252977	q25.3
ENSG00000265538	p32.3
ENSG00000212308	p31.1
ENSG00000233407	p32.3
ENSG00000275774	p36.21
ENSG00000200036	q24.1
ENSG00000263825	q21.2
ENSG00000200547	p13.1
ENSG00000266634	p36.13
ENSG00000252371	q43
ENSG00000252552	q25.1
ENSG00000274178	p36.21
ENSG00000221545	q24.2
ENSG00000238761	p13.2
ENSG00000131791	q21.1
ENSG00000221683	p31.1
ENSG00000207730	p36.33
ENSG00000236179	p36.21
ENSG00000253042	q32.1
ENSG00000206692	q24.3
ENSG00000239984	p13.1
ENSG00000280403	p36.11
ENSG00000252105	q21.1
ENSG00000252501	q42.2
ENSG00000199334	q42.13
ENSG00000264349	q21.3
ENSG00000206832	p13.3
ENSG00000252826	q21.1
ENSG00000207095	p35.3
ENSG00000202041	q43
ENSG00000252692	q32.1
ENSG00000206764	q25.3
ENSG00000252317	q43
ENSG00000211581	q23.1
ENSG00000244256	p31.3
ENSG00000199377	p34.1
ENSG00000252259	p31.3
ENSG00000265822	p32.3
ENSG00000207194	p32.3
ENSG00000201608	q23.2
ENSG00000201355	q42.13
ENSG00000229571	p36.21
ENSG00000275668	q32.2
ENSG00000274978	p35.3
ENSG00000235038	p32.2
ENSG00000241188	p36.11
ENSG00000280466	q22
ENSG00000212624	p32.3
ENSG00000221222	p22.3
ENSG00000263381	p34.1
ENSG00000251899	p22.3
ENSG00000277573	q21.1
ENSG00000199595	q23.3
ENSG00000212230	q43
ENSG00000274266	p35.3
ENSG00000264831	q32.2
ENSG00000264553	q21.2
ENSG00000221447	p33
ENSG00000277817	q22
ENSG00000266458	q23.2
ENSG00000199756	p35.3
ENSG00000266188	p32.3
ENSG00000202329	q32.1
ENSG00000264753	p13.3
ENSG00000206679	p21.3
ENSG00000207776	p36.32
ENSG00000221702	p22.3
ENSG00000212237	q42.13
ENSG00000199059	q32.1
ENSG00000221346	p33
ENSG00000216157	p36.12
ENSG00000212094	p11.2
ENSG00000274210	q21.2
ENSG00000264592	p34.3
ENSG00000272068	q23.1
ENSG00000281129	p34.1
ENSG00000277331	q21.1
ENSG00000199921	p31.1
ENSG00000203710	q32.2
ENSG00000278757	p36.33
ENSG00000278852	p36.22
ENSG00000239710	p22.1
ENSG00000268154	q21.3
ENSG00000263390	q24.2
ENSG00000252146	p34.1
ENSG00000264101	p36.31
ENSG00000223119	q43
ENSG00000278791	p36.33
ENSG00000252131	q42.2
ENSG00000274155	q23.3
ENSG00000264916	q25.2
ENSG00000200033	q41
ENSG00000222399	q41
ENSG00000264963	p22.1
ENSG00000212161	q23.2
ENSG00000207256	p34.2
ENSG00000281172	p32.3
ENSG00000277731	p36.32
ENSG00000264014	p36.12
ENSG00000223175	p33
ENSG00000201791	q25.2
ENSG00000264377	q42.2
ENSG00000207451	p36.22
ENSG00000264021	p36.11
ENSG00000264500	q44
ENSG00000222611	q22
ENSG00000252051	q42.13
ENSG00000280823	p35.2
ENSG00000221591	p32.2
ENSG00000238382	q42.2
ENSG00000235282	p36.13
ENSG00000199879	q21.2
ENSG00000207475	q22
ENSG00000200755	q25.1
ENSG00000221746	p33
ENSG00000222120	q43
ENSG00000265831	q43
ENSG00000252947	p35.3
ENSG00000271748	q22
ENSG00000216067	p21.2
ENSG00000216109	q22
ENSG00000222624	p31.3
